entry	alignmentStart	alignmentEnd	envelopeStart	envelopeEnd	hmmAacc	hmmName	type	hmmStart	hmmEend	hmmLength	bitScore	eValue	clan	entryName	geneSymbol	length
Q3KP44	102	192	98	192	PF12796	Ank_2	Repeat	5	86	86	43.3	2.2e-07	CL0465	ANR55_HUMAN	ANKRD55	614
Q3KP44	266	317	266	317	PF13637	Ank_4	Domain	2	53	54	40.4	1.5e-06	CL0465	ANR55_HUMAN	ANKRD55	614
P14316	7	111	7	112	PF00605	IRF	Domain	1	104	105	140.7	7.7e-38	No_clan	IRF2_HUMAN	IRF2	349
D6R9N7	80	372	79	372	PF00443	UCH	Family	2	264	264	160.4	2.3e-43	CL0125	U17LI_HUMAN	USP17L18	530
D6R9N7	411	455	372	457	PF04774	HABP4_PAI-RBP1	Family	82	113	115	23.1	0.47	No_clan	U17LI_HUMAN	USP17L18	530
Q6UWR7	26	357	26	357	PF01663	Phosphodiest	Family	1	355	355	265.4	4.8e-75	CL0088	ENPP6_HUMAN	ENPP6	440
Q99729	1	69	1	69	PF08143	CBFNT	Domain	1	73	73	59.4	3.1e-12	No_clan	ROAA_HUMAN	HNRNPAB	332
Q99729	72	138	71	140	PF00076	RRM_1	Domain	2	68	70	59.4	9.7e-13	CL0221	ROAA_HUMAN	HNRNPAB	332
Q99729	155	215	155	224	PF00076	RRM_1	Domain	1	59	70	46.8	8.5e-09	CL0221	ROAA_HUMAN	HNRNPAB	332
P16471	25	120	22	120	PF09067	EpoR_lig-bind	Domain	5	104	104	77.9	2.5e-18	CL0159	PRLR_HUMAN	PRLR	622
Q6AWC2	12	41	12	41	PF00397	WW	Domain	1	31	31	40.4	9.3e-07	No_clan	WWC2_HUMAN	WWC2	1192
Q6AWC2	59	88	59	88	PF00397	WW	Domain	1	31	31	29.9	0.0017	No_clan	WWC2_HUMAN	WWC2	1192
Q96BP3	91	117	85	117	PF00400	WD40	Repeat	12	37	37	15.3	120	CL0186	PPWD1_HUMAN	PPWD1	646
Q96BP3	495	644	493	645	PF00160	Pro_isomerase	Domain	3	155	156	169.5	2.7e-46	CL0475	PPWD1_HUMAN	PPWD1	646
Q8N799	10	162	10	164	PF15175	SPATA24	Family	1	153	182	224.9	3e-63	No_clan	Q8N799_HUMAN	SPATA24	293
Q96MT8	18	280	18	280	PF17045	CEP63	Family	1	269	269	349.9	5.9e-101	No_clan	CEP63_HUMAN	CEP63	703
Q9UM13	6	182	4	183	PF03256	ANAPC10	Family	3	184	185	274.4	1.7e-78	CL0202	APC10_HUMAN	ANAPC10	185
Q96AX9	70	135	70	136	PF06701	MIB_HERC2	Domain	1	64	65	82	1.2e-19	No_clan	MIB2_HUMAN	MIB2	1013
Q96AX9	144	182	143	186	PF00569	ZZ	Domain	2	41	45	32.2	0.00031	CL0006	MIB2_HUMAN	MIB2	1013
Q96AX9	218	282	218	283	PF06701	MIB_HERC2	Domain	1	64	65	81.2	2.1e-19	No_clan	MIB2_HUMAN	MIB2	1013
Q96AX9	509	584	492	586	PF12796	Ank_2	Repeat	15	84	86	43.4	2.1e-07	CL0465	MIB2_HUMAN	MIB2	1013
Q96AX9	523	576	523	576	PF13637	Ank_4	Domain	1	54	54	40.1	1.8e-06	CL0465	MIB2_HUMAN	MIB2	1013
Q96AX9	591	616	588	617	PF13606	Ank_3	Repeat	4	29	30	20.1	2.8	CL0465	MIB2_HUMAN	MIB2	1013
Q96AX9	626	723	626	723	PF12796	Ank_2	Repeat	1	86	86	43.8	1.6e-07	CL0465	MIB2_HUMAN	MIB2	1013
Q96AX9	685	730	678	730	PF13857	Ank_5	Domain	9	53	56	29.5	0.0031	CL0465	MIB2_HUMAN	MIB2	1013
Q96AX9	888	929	886	931	PF13920	zf-C3HC4_3	Domain	3	48	50	27.6	0.0086	CL0229	MIB2_HUMAN	MIB2	1013
Q96AX9	968	1007	965	1008	PF13920	zf-C3HC4_3	Domain	4	49	50	29.8	0.0018	CL0229	MIB2_HUMAN	MIB2	1013
Q9HCC0	76	553	74	558	PF01039	Carboxyl_trans	Family	3	484	494	499.7	3.7e-146	CL0127	MCCB_HUMAN	MCCC2	563
Q9Y6B6	12	197	12	197	PF00025	Arf	Domain	1	175	175	209.8	8.8e-59	CL0023	SAR1B_HUMAN	SAR1B	198
Q13309	97	142	97	143	PF12937	F-box-like	Domain	1	46	47	56.5	8.2e-12	CL0271	SKP2_HUMAN	SKP2	424
P08887	36	97	30	101	PF00047	ig	Domain	7	73	87	26.7	0.02	CL0011	IL6RA_HUMAN	IL6R	468
P08887	118	212	113	213	PF09240	IL6Ra-bind	Domain	4	98	99	72.6	1.2e-16	CL0159	IL6RA_HUMAN	IL6R	468
Q8WWU5	67	486	58	486	PF05794	Tcp11	Family	10	396	396	351.2	3.6e-101	No_clan	TCP11_HUMAN	TCP11	503
P32321	14	128	13	129	PF00383	dCMP_cyt_deam_1	Family	2	100	101	99.4	3.7e-25	CL0109	DCTD_HUMAN	DCTD	178
P59282	6	167	6	167	PF05517	p25-alpha	Family	1	162	162	240.8	3.7e-68	No_clan	TPPP2_HUMAN	TPPP2	170
Q71F23	144	320	144	320	PF13097	CENP-U	Family	1	181	181	237.8	3.4e-67	No_clan	CENPU_HUMAN	CENPU	418
Q6R327	58	439	57	439	PF14664	RICTOR_N	Domain	2	373	373	370.4	4e-107	No_clan	RICTR_HUMAN	RICTOR	1708
Q6R327	531	740	524	740	PF14666	RICTOR_M	Domain	8	223	223	219.7	1.3e-61	No_clan	RICTR_HUMAN	RICTOR	1708
Q6R327	747	852	746	853	PF14663	RasGEF_N_2	Domain	2	107	108	125.6	4.3e-33	CL0542	RICTR_HUMAN	RICTOR	1708
Q6R327	922	991	921	991	PF14668	RICTOR_V	Domain	2	71	71	104.2	1.4e-26	No_clan	RICTR_HUMAN	RICTOR	1708
Q6R327	1084	1188	1084	1188	PF14665	RICTOR_phospho	Domain	1	111	111	158.1	4.4e-43	No_clan	RICTR_HUMAN	RICTOR	1708
Q9NY35	18	234	17	235	PF13903	Claudin_2	Family	2	192	193	81	4.2e-19	CL0375	CLDN1_HUMAN	CLDND1	253
G8JLB6	13	84	13	84	PF14259	RRM_6	Domain	1	66	66	40.5	9.9e-07	CL0221	G8JLB6_HUMAN	HNRNPH1	472
G8JLB6	114	181	113	182	PF00076	RRM_1	Domain	2	69	70	47.8	4.2e-09	CL0221	G8JLB6_HUMAN	HNRNPH1	472
G8JLB6	255	290	255	290	PF08080	zf-RNPHF	Domain	1	36	36	80	4e-19	No_clan	G8JLB6_HUMAN	HNRNPH1	472
G8JLB6	291	358	291	358	PF14259	RRM_6	Domain	1	66	66	45.7	2.4e-08	CL0221	G8JLB6_HUMAN	HNRNPH1	472
Q96FZ2	1	262	1	263	PF02586	SRAP	Family	1	184	185	190.2	1.2e-52	No_clan	HMCES_HUMAN	HMCES	354
Q9H6S0	50	104	44	104	PF01424	R3H	Domain	7	59	59	45.4	2.6e-08	No_clan	YTDC2_HUMAN	YTHDC2	1430
Q9H6S0	198	352	196	355	PF00270	DEAD	Domain	3	169	175	38.7	3.8e-06	CL0023	YTDC2_HUMAN	YTHDC2	1430
Q9H6S0	614	743	607	744	PF00271	Helicase_C	Family	8	104	105	51.2	5.5e-10	CL0023	YTDC2_HUMAN	YTHDC2	1430
Q9H6S0	809	900	809	900	PF04408	HA2	Domain	1	75	75	68.4	2e-15	No_clan	YTDC2_HUMAN	YTHDC2	1430
Q9H6S0	939	1065	938	1067	PF07717	OB_NTP_bind	Domain	2	112	114	53.6	9.5e-11	CL0021	YTDC2_HUMAN	YTHDC2	1430
Q9H6S0	1289	1419	1288	1419	PF04146	YTH	Domain	2	133	133	155.2	3.4e-42	CL0178	YTDC2_HUMAN	YTHDC2	1430
P26572	12	444	12	444	PF03071	GNT-I	Family	1	434	434	716.4	4.8e-212	CL0110	MGAT1_HUMAN	MGAT1	445
Q96QK8	3	97	2	98	PF11027	DUF2615	Family	2	103	104	132.3	2.7e-35	No_clan	SIM14_HUMAN	SMIM14	99
Q9BUT1	7	190	7	193	PF00106	adh_short	Domain	1	192	195	166.5	2.1e-45	CL0063	BDH2_HUMAN	BDH2	245
P98194	27	94	26	94	PF00690	Cation_ATPase_N	Domain	2	69	69	63.8	3.9e-14	No_clan	AT2C1_HUMAN	ATP2C1	919
P98194	106	339	104	339	PF00122	E1-E2_ATPase	Family	3	221	221	203.7	1e-56	No_clan	AT2C1_HUMAN	ATP2C1	919
P98194	345	656	344	656	PF00702	Hydrolase	Domain	2	213	213	80.4	1e-18	CL0137	AT2C1_HUMAN	ATP2C1	919
P98194	726	897	726	898	PF00689	Cation_ATPase_C	Family	1	181	182	156.1	3.3e-42	No_clan	AT2C1_HUMAN	ATP2C1	919
O96028	220	311	220	332	PF00855	PWWP	Domain	1	74	86	78.1	2.3e-18	CL0049	NSD2_HUMAN	WHSC1	1365
O96028	457	506	455	508	PF00505	HMG_box	Domain	5	54	69	37.4	1.1e-05	CL0114	NSD2_HUMAN	WHSC1	1365
O96028	880	967	878	968	PF00855	PWWP	Domain	3	85	86	64.5	4e-14	CL0049	NSD2_HUMAN	WHSC1	1365
O96028	1074	1180	1074	1180	PF00856	SET	Family	1	141	141	70.5	7.8e-16	No_clan	NSD2_HUMAN	WHSC1	1365
P43250	53	170	52	170	PF00615	RGS	Domain	2	118	118	65.1	3e-14	CL0272	GRK6_HUMAN	GRK6	576
P43250	187	448	186	448	PF00069	Pkinase	Domain	2	262	262	232.5	2.3e-65	CL0016	GRK6_HUMAN	GRK6	576
O95263	1	47	1	47	PF08629	PDE8	Family	1	47	47	105.3	5.3e-27	No_clan	PDE8B_HUMAN	PDE8B	885
O95263	280	376	279	379	PF13426	PAS_9	Domain	2	94	101	49.2	3e-09	CL0183	PDE8B_HUMAN	PDE8B	885
O95263	614	861	614	862	PF00233	PDEase_I	Domain	1	230	231	300.2	5.1e-86	CL0237	PDE8B_HUMAN	PDE8B	885
Q16643	14	129	13	132	PF00241	Cofilin_ADF	Domain	2	120	123	61.5	3.7e-13	CL0092	DREB_HUMAN	DBN1	649
Q659C4	219	274	219	275	PF05383	La	Domain	1	58	59	75.2	1.4e-17	No_clan	LAR1B_HUMAN	LARP1B	914
Q96GZ6	106	240	106	240	PF01769	MgtE	Family	1	121	121	81.6	2.4e-19	No_clan	S41A3_HUMAN	SLC41A3	507
Q96GZ6	319	458	319	461	PF01769	MgtE	Family	1	116	121	84.8	2.5e-20	No_clan	S41A3_HUMAN	SLC41A3	507
P61927	2	54	2	54	PF01907	Ribosomal_L37e	Family	1	54	54	93.1	3.9e-23	No_clan	RL37_HUMAN	RPL37	97
Q9BPZ3	108	123	106	123	PF07145	PAM2	Motif	3	18	18	29.4	0.0017	No_clan	PAIP2_HUMAN	PAIP2	127
D6RER5	38	308	38	311	PF00735	Septin	Domain	1	278	281	330.2	4.1e-95	CL0023	D6RER5_HUMAN	SEPT11	432
P42262	55	378	49	379	PF01094	ANF_receptor	Family	22	350	351	192	7.5e-53	CL0144	GRIA2_HUMAN	GRIA2	883
P42262	414	529	414	529	PF10613	Lig_chan-Glu_bd	Domain	1	115	115	153.4	1.1e-41	CL0177	GRIA2_HUMAN	GRIA2	883
P42262	544	824	543	824	PF00060	Lig_chan	Family	2	148	148	198.7	1.8e-55	CL0030	GRIA2_HUMAN	GRIA2	883
P15954	7	62	1	62	PF02935	COX7C	Family	8	64	64	83.7	3.6e-20	No_clan	COX7C_HUMAN	COX7C	63
E7ETH0	118	214	117	215	PF00530	SRCR	Domain	2	99	100	48.5	4.4e-09	CL0550	E7ETH0_HUMAN	CFI	591
E7ETH0	226	256	223	256	PF00057	Ldl_recept_a	Repeat	7	37	37	28.6	0.0053	No_clan	E7ETH0_HUMAN	CFI	591
E7ETH0	258	293	257	293	PF00057	Ldl_recept_a	Repeat	2	37	37	46	2e-08	No_clan	E7ETH0_HUMAN	CFI	591
E7ETH0	348	577	348	577	PF00089	Trypsin	Domain	1	220	220	208.3	5.4e-58	CL0124	E7ETH0_HUMAN	CFI	591
Q9UHY7	13	230	13	230	PF13419	HAD_2	Family	1	189	189	75.6	2.9e-17	CL0137	ENOPH_HUMAN	ENOPH1	261
Q9UQ26	70	184	67	185	PF02318	FYVE_2	Family	9	116	118	39.3	2.9e-06	CL0390	RIMS2_HUMAN	RIMS2	1411
Q9UQ26	821	930	820	930	PF00168	C2	Domain	2	103	103	69.4	1.2e-15	CL0154	RIMS2_HUMAN	RIMS2	1411
Q9UQ26	1270	1377	1270	1377	PF00168	C2	Domain	1	103	103	55.4	2.6e-11	CL0154	RIMS2_HUMAN	RIMS2	1411
Q9UN74	30	111	30	112	PF08266	Cadherin_2	Domain	1	82	83	99	4.5e-25	CL0159	PCDA4_HUMAN	PCDHA4	947
Q9UN74	140	233	138	233	PF00028	Cadherin	Family	3	93	93	35.8	3.7e-05	CL0159	PCDA4_HUMAN	PCDHA4	947
Q9UN74	247	341	247	341	PF00028	Cadherin	Family	1	93	93	63.8	6.8e-14	CL0159	PCDA4_HUMAN	PCDHA4	947
Q9UN74	358	445	355	446	PF00028	Cadherin	Family	4	92	93	43	2.1e-07	CL0159	PCDA4_HUMAN	PCDHA4	947
Q9UN74	460	556	460	556	PF00028	Cadherin	Family	1	93	93	47.7	7.3e-09	CL0159	PCDA4_HUMAN	PCDHA4	947
Q9UN74	587	669	577	670	PF00028	Cadherin	Family	11	92	93	42.9	2.3e-07	CL0159	PCDA4_HUMAN	PCDHA4	947
Q9UN74	796	930	796	930	PF15974	Cadherin_tail	Family	1	141	141	190.1	1e-52	No_clan	PCDA4_HUMAN	PCDHA4	947
Q9NZF1	26	104	26	105	PF04749	PLAC8	Family	1	82	83	61.7	3.6e-13	No_clan	PLAC8_HUMAN	PLAC8	115
Q01804	42	122	40	149	PF02338	OTU	Family	3	88	127	56.1	2.3e-11	CL0125	OTUD4_HUMAN	OTUD4	1114
P37840	1	130	1	131	PF01387	Synuclein	Family	1	133	134	181.4	3.6e-50	No_clan	SYUA_HUMAN	SNCA	140
Q9UBV7	83	175	60	177	PF13733	Glyco_transf_7N	Domain	37	131	134	80.3	4.2e-19	CL0110	B4GT7_HUMAN	B4GALT7	327
Q9UBV7	182	257	181	260	PF02709	Glyco_transf_7C	Family	2	77	78	91.1	1.1e-22	CL0110	B4GT7_HUMAN	B4GALT7	327
Q13454	67	161	64	185	PF00085	Thioredoxin	Domain	4	86	104	23.8	0.15	CL0172	TUSC3_HUMAN	TUSC3	348
Q13454	179	329	179	329	PF04756	OST3_OST6	Family	1	152	152	200.6	4.3e-56	No_clan	TUSC3_HUMAN	TUSC3	348
Q07002	142	423	142	423	PF00069	Pkinase	Domain	1	262	262	232.9	1.8e-65	CL0016	CDK18_HUMAN	CDK18	472
P48775	27	372	26	372	PF03301	Trp_dioxygenase	Family	2	346	346	567.2	6.5e-167	CL0380	T23O_HUMAN	TDO2	406
O15455	52	111	51	111	PF13855	LRR_8	Repeat	2	61	61	43.9	6.4e-08	CL0022	TLR3_HUMAN	TLR3	904
O15455	75	133	75	134	PF13855	LRR_8	Repeat	1	59	61	45.9	1.5e-08	CL0022	TLR3_HUMAN	TLR3	904
O15455	274	330	274	332	PF13855	LRR_8	Repeat	1	57	61	44.2	5.1e-08	CL0022	TLR3_HUMAN	TLR3	904
O15455	562	622	562	622	PF13855	LRR_8	Repeat	1	61	61	38.2	3.8e-06	CL0022	TLR3_HUMAN	TLR3	904
O15455	588	646	587	647	PF13855	LRR_8	Repeat	3	60	61	32.2	3e-04	CL0022	TLR3_HUMAN	TLR3	904
O15455	759	860	755	897	PF01582	TIR	Family	5	113	176	34.1	1e-04	CL0173	TLR3_HUMAN	TLR3	904
Q15669	6	170	6	172	PF00071	Ras	Domain	1	160	162	153.5	1.6e-41	CL0023	RHOH_HUMAN	RHOH	191
H0Y9X1	52	200	49	201	PF11176	DUF2962	Family	4	147	148	160.4	1.2e-43	No_clan	H0Y9X1_HUMAN	TMA16	242
Q96L73	321	412	321	429	PF00855	PWWP	Domain	1	79	86	59.9	1.1e-12	CL0049	NSD1_HUMAN	NSD1	2696
Q96L73	1756	1842	1754	1844	PF00855	PWWP	Domain	3	84	86	62.3	1.9e-13	CL0049	NSD1_HUMAN	NSD1	2696
Q96L73	1953	2059	1953	2059	PF00856	SET	Family	1	141	141	64.5	5.8e-14	No_clan	NSD1_HUMAN	NSD1	2696
D6RA61	80	372	79	372	PF00443	UCH	Family	2	264	264	160.1	2.7e-43	CL0125	U17LM_HUMAN	USP17L22	530
D6RA61	412	455	372	457	PF04774	HABP4_PAI-RBP1	Family	82	113	115	23	0.49	No_clan	U17LM_HUMAN	USP17L22	530
Q8N292	1	155	1	155	PF11770	GAPT	Family	1	156	156	272.1	5.4e-78	No_clan	GAPT_HUMAN	GAPT	157
P15428	6	198	6	199	PF00106	adh_short	Domain	1	194	195	194.5	5.4e-54	CL0063	PGDH_HUMAN	HPGD	266
P78317	131	177	130	177	PF13639	zf-RING_2	Domain	2	44	44	43.4	1.4e-07	CL0229	RNF4_HUMAN	RNF4	190
P38646	55	652	55	653	PF00012	HSP70	Family	1	600	601	893.7	2.1e-265	CL0108	GRP75_HUMAN	HSPA9	679
P12429	23	87	22	87	PF00191	Annexin	Family	2	66	66	90.4	2.5e-22	No_clan	ANXA3_HUMAN	ANXA3	323
P12429	94	159	94	159	PF00191	Annexin	Family	1	66	66	90	3.5e-22	No_clan	ANXA3_HUMAN	ANXA3	323
P12429	177	243	177	243	PF00191	Annexin	Family	1	66	66	87.2	2.5e-21	No_clan	ANXA3_HUMAN	ANXA3	323
P12429	255	318	253	318	PF00191	Annexin	Family	3	66	66	85.5	8.3e-21	No_clan	ANXA3_HUMAN	ANXA3	323
Q02045	34	63	34	63	PF13405	EF-hand_6	Domain	1	31	31	29.2	0.0021	CL0220	MYL5_HUMAN	MYL5	173
O60683	18	242	18	243	PF04757	Pex2_Pex12	Family	1	224	225	134.7	1.6e-35	No_clan	PEX10_HUMAN	PEX10	326
O60683	271	313	269	315	PF13920	zf-C3HC4_3	Domain	3	46	50	37.2	8.7e-06	CL0229	PEX10_HUMAN	PEX10	326
O95436	110	213	110	250	PF02690	Na_Pi_cotrans	Family	1	92	140	84.6	3e-20	No_clan	NPT2B_HUMAN	SLC34A2	690
O95436	390	502	374	530	PF02690	Na_Pi_cotrans	Family	16	110	140	52.7	2.1e-10	No_clan	NPT2B_HUMAN	SLC34A2	690
Q92838	285	385	272	385	PF00229	TNF	Domain	15	127	127	33.3	0.00018	CL0100	EDA_HUMAN	EDA	391
F6WH68	111	272	111	272	PF06733	DEAD_2	Family	1	176	176	189.7	1.5e-52	CL0023	F6WH68_HUMAN	RTEL1-TNFRSF6B	1400
F6WH68	547	730	545	731	PF13307	Helicase_C_2	Domain	3	170	171	179.3	3.2e-49	CL0023	F6WH68_HUMAN	RTEL1-TNFRSF6B	1400
Q13029	81	141	41	141	PF00856	SET	Family	79	141	141	34.8	7.9e-05	No_clan	PRDM2_HUMAN	PRDM2	1718
Q13029	483	507	482	508	PF13912	zf-C2H2_6	Domain	2	26	27	15.8	44	CL0361	PRDM2_HUMAN	PRDM2	1718
Q13029	1455	1473	1454	1475	PF13912	zf-C2H2_6	Domain	2	20	27	15.8	45	CL0361	PRDM2_HUMAN	PRDM2	1718
O95359	2742	2942	2742	2942	PF05010	TACC	Coiled-coil	1	201	201	279.8	5.5e-80	No_clan	TACC2_HUMAN	TACC2	2948
P57088	13	244	7	245	PF03661	UPF0121	Family	8	240	241	321.3	1.5e-92	No_clan	TMM33_HUMAN	TMEM33	247
Q9UJU2	1	213	1	213	PF08347	CTNNB1_binding	Family	1	202	202	288.7	1.4e-82	No_clan	LEF1_HUMAN	LEF1	399
Q9UJU2	299	366	299	367	PF00505	HMG_box	Domain	1	68	69	77.5	3.5e-18	CL0114	LEF1_HUMAN	LEF1	399
O75121	47	142	47	142	PF07679	I-set	Domain	1	90	90	57.4	5.3e-12	CL0011	MFA3L_HUMAN	MFAP3L	409
Q8N945	16	183	16	185	PF04707	PRELI	Family	1	155	157	146.5	2.4e-39	No_clan	PRLD2_HUMAN	PRELID2	189
P81877	83	124	83	125	PF04503	SSDP	Family	1	45	284	57.1	1.5e-11	No_clan	SSBP2_HUMAN	SSBP2	361
P81877	124	338	123	338	PF04503	SSDP	Family	75	284	284	219.2	6e-61	No_clan	SSBP2_HUMAN	SSBP2	361
Q9NQ76	97	256	97	256	PF07175	Osteoregulin	Family	1	160	160	294.7	8.5e-85	No_clan	MEPE_HUMAN	MEPE	525
Q8WZ64	10	65	8	67	PF00536	SAM_1	Domain	7	61	64	39.1	3.3e-06	CL0003	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	484	573	483	574	PF00169	PH	Domain	2	105	106	45.6	3.5e-08	CL0266	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	602	678	582	679	PF00169	PH	Domain	21	105	106	26.6	0.029	CL0266	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	687	801	685	803	PF01412	ArfGap	Domain	3	115	117	115.8	4.7e-30	No_clan	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	908	999	879	1001	PF00169	PH	Domain	16	102	106	38.2	7.1e-06	CL0266	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	1129	1278	1129	1282	PF00620	RhoGAP	Domain	1	149	152	136.1	3.7e-36	CL0409	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	1330	1416	1326	1418	PF00788	RA	Domain	5	89	93	23.1	0.4	CL0072	ARAP2_HUMAN	ARAP2	1704
Q8WZ64	1436	1534	1435	1537	PF00169	PH	Domain	2	103	106	36.8	1.9e-05	CL0266	ARAP2_HUMAN	ARAP2	1704
Q96KX1	1	117	1	117	PF15022	DUF4522	Family	1	117	117	206.9	3.3e-58	No_clan	CD036_HUMAN	C4orf36	117
Q9H9B4	16	322	16	322	PF03820	Mtc	Family	1	310	310	507	7.2e-149	No_clan	SFXN1_HUMAN	SFXN1	322
Q6PIY7	386	440	386	440	PF03828	PAP_assoc	Family	1	62	62	50.8	6.4e-10	No_clan	GLD2_HUMAN	PAPD4	484
Q4G0J3	38	95	38	96	PF05383	La	Domain	1	58	59	76.2	6.4e-18	No_clan	LARP7_HUMAN	LARP7	582
Q4G0J3	127	188	127	190	PF00076	RRM_1	Domain	1	61	70	59.2	1.1e-12	CL0221	LARP7_HUMAN	LARP7	582
Q4G0J3	454	552	454	552	PF08777	RRM_3	Domain	1	102	102	102.2	6e-26	CL0221	LARP7_HUMAN	LARP7	582
Q13591	61	464	60	465	PF01403	Sema	Family	2	418	419	434.2	2.1e-126	No_clan	SEM5A_HUMAN	SEMA5A	1074
Q13591	600	647	599	650	PF00090	TSP_1	Family	2	47	49	44.4	6.3e-08	No_clan	SEM5A_HUMAN	SEMA5A	1074
Q13591	658	701	657	701	PF00090	TSP_1	Family	2	49	49	27.9	0.0089	No_clan	SEM5A_HUMAN	SEMA5A	1074
Q13591	788	838	788	838	PF00090	TSP_1	Family	1	49	49	41.4	5.6e-07	No_clan	SEM5A_HUMAN	SEMA5A	1074
Q13591	845	895	845	895	PF00090	TSP_1	Family	1	49	49	40.7	9.2e-07	No_clan	SEM5A_HUMAN	SEMA5A	1074
Q13591	900	941	900	944	PF00090	TSP_1	Family	1	45	49	26.7	0.022	No_clan	SEM5A_HUMAN	SEMA5A	1074
Q96PM5	20	92	20	93	PF05495	zf-CHY	Domain	1	73	74	75.2	2e-17	No_clan	ZN363_HUMAN	RCHY1	261
Q96PM5	144	186	143	187	PF13639	zf-RING_2	Domain	2	43	44	37.8	7.5e-06	CL0229	ZN363_HUMAN	RCHY1	261
Q96PM5	191	248	191	249	PF14599	zinc_ribbon_6	Domain	1	58	59	97.4	1.5e-24	No_clan	ZN363_HUMAN	RCHY1	261
Q14103	1	78	1	78	PF08143	CBFNT	Domain	1	73	73	53.2	2.5e-10	No_clan	HNRPD_HUMAN	HNRNPD	355
Q14103	100	167	99	168	PF00076	RRM_1	Domain	2	69	70	61.9	1.6e-13	CL0221	HNRPD_HUMAN	HNRNPD	355
Q14103	184	244	184	255	PF00076	RRM_1	Domain	1	60	70	58.7	1.7e-12	CL0221	HNRPD_HUMAN	HNRNPD	355
P16591	11	85	10	87	PF00611	FCH	Family	2	70	72	52.8	1.6e-10	No_clan	FER_HUMAN	FER	822
P16591	460	531	460	531	PF00017	SH2	Domain	1	77	77	75.7	9.8e-18	CL0541	FER_HUMAN	FER	822
P16591	565	814	563	814	PF07714	Pkinase_Tyr	Domain	3	260	260	333.3	3.8e-96	CL0016	FER_HUMAN	FER	822
O14810	1	132	1	133	PF05835	Synaphin	Family	1	141	142	141.4	1.1e-37	No_clan	CPLX1_HUMAN	CPLX1	134
Q9H2E6	65	475	61	479	PF01403	Sema	Family	8	410	419	438.9	7.9e-128	No_clan	SEM6A_HUMAN	SEMA6A	1030
Q9H2E6	514	547	514	569	PF01437	PSI	Family	1	31	51	27	0.021	No_clan	SEM6A_HUMAN	SEMA6A	1030
Q8TBB1	41	77	41	77	PF00097	zf-C3HC4	Domain	1	40	41	25.2	0.049	CL0229	LNX1_HUMAN	LNX1	728
Q8TBB1	276	356	274	356	PF00595	PDZ	Domain	3	82	82	43.3	1.6e-07	CL0466	LNX1_HUMAN	LNX1	728
Q8TBB1	382	460	381	461	PF00595	PDZ	Domain	2	81	82	44.9	5e-08	CL0466	LNX1_HUMAN	LNX1	728
Q8TBB1	508	588	507	590	PF00595	PDZ	Domain	2	80	82	52.2	2.7e-10	CL0466	LNX1_HUMAN	LNX1	728
Q8TBB1	639	720	638	721	PF00595	PDZ	Domain	2	81	82	53	1.5e-10	CL0466	LNX1_HUMAN	LNX1	728
Q13423	60	199	60	199	PF05222	AlaDh_PNT_N	Domain	1	136	136	149.1	4e-40	CL0325	NNTM_HUMAN	NNT	1086
Q13423	203	435	203	437	PF01262	AlaDh_PNT_C	Domain	1	212	214	229.4	1.3e-64	CL0063	NNTM_HUMAN	NNT	1086
Q13423	501	587	501	587	PF12769	PNTB_4TM	Family	1	82	82	111.3	9.9e-29	No_clan	NNTM_HUMAN	NNT	1086
Q13423	621	1078	620	1079	PF02233	PNTB	Family	2	441	442	595.8	2.3e-175	CL0085	NNTM_HUMAN	NNT	1086
Q9Y2P4	62	486	60	487	PF00501	AMP-binding	Family	3	420	421	216.6	2e-60	CL0378	S27A6_HUMAN	SLC27A6	619
Q9Y2P4	495	571	495	571	PF13193	AMP-binding_C	Domain	1	71	71	26	0.064	CL0531	S27A6_HUMAN	SLC27A6	619
Q9BSA9	35	124	35	124	PF06736	DUF1211	Family	1	85	85	67.8	3.9e-15	No_clan	TM175_HUMAN	TMEM175	504
Q9BSA9	260	356	260	356	PF06736	DUF1211	Family	1	85	85	81	2.9e-19	No_clan	TM175_HUMAN	TMEM175	504
Q9UKT5	58	103	57	104	PF00646	F-box	Domain	2	47	48	30.1	0.0014	CL0271	FBX4_HUMAN	FBXO4	387
Q96A73	16	305	15	305	PF15302	P33MONOX	Family	2	291	291	449.5	2.8e-131	No_clan	P33MX_HUMAN	KIAA1191	305
Q9C093	5	101	5	102	PF06294	CH_2	Domain	1	95	96	75.2	1.5e-17	CL0188	SPEF2_HUMAN	SPEF2	1822
Q9C093	681	751	670	763	PF00406	ADK	Domain	36	106	151	34.2	0.00011	CL0023	SPEF2_HUMAN	SPEF2	1822
P10915	49	143	45	151	PF07686	V-set	Domain	6	94	109	39.7	1.9e-06	CL0011	HPLN1_HUMAN	HAPLN1	354
P10915	160	253	159	253	PF00193	Xlink	Domain	2	93	93	114.9	7.2e-30	CL0056	HPLN1_HUMAN	HAPLN1	354
P10915	268	350	261	350	PF00193	Xlink	Domain	12	93	93	90	4.1e-22	CL0056	HPLN1_HUMAN	HAPLN1	354
